days,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
days,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking
31,22133,1385,569,60,586.426,36.696,15.076,1.59,47.79,16.78,48.43,5402,331,218,15,932.633,57.146,37.637,2.59,74.33,33.76,72.01,61913,4615,583,128,738.96,55.082,6.958,1.528,52.68,35.14,47.88,1089,43,41,5,8.61,0.34,0.324,0.04,128.24,118.84,141.1,17851,1224,1766,115,1041.794,71.433,103.065,6.711,51.96,22.29,50.98,5640,130,58,8,1040.352,23.98,10.699,1.476,81.79,36.26,74.38,21022,821,559,19,2428.992,94.863,64.59,2.195,60.38,27.57,59.32
32,23301,1168,653,84,617.373,30.947,17.302,2.226,35.19,14.93,40.6,5635,233,237,19,972.86,40.226,40.917,3.28,74.66,34.54,73.72,67366,5453,732,149,804.044,65.084,8.737,1.778,53.29,33.52,50.5,1128,39,42,1,8.919,0.308,0.332,0.008,128.82,117.95,142,18803,952,1867,101,1097.353,55.559,108.959,5.894,54.64,22.87,56.45,5755,115,59,1,1061.565,21.213,10.883,0.184,82.87,35.07,74.17,21574,552,584,25,2492.773,63.781,67.478,2.889,64.19,28.91,63.28
33,24365,1064,717,64,645.565,28.191,18.997,1.696,44.73,18.09,41.76,5819,184,247,10,1004.626,31.767,42.644,1.726,71.32,32.59,65.98,73522,6156,872,140,877.519,73.475,10.408,1.671,53.15,33.82,50.82,1193,65,43,1,9.433,0.514,0.34,0.008,121.43,109.55,123.41,19580,777,2101,234,1142.699,45.346,122.615,13.656,58.08,22.99,61.26,5863,108,69,10,1081.486,19.922,12.728,1.845,79.99,36.43,64.54,22164,590,641,57,2560.945,68.172,74.065,6.586,66.9,30.46,67.22
34,25663,1298,780,63,679.956,34.391,20.667,1.669,52.28,18.73,50.75,5996,177,260,13,1035.185,30.558,44.888,2.244,71.54,34.4,69.45,79696,6174,1017,145,951.208,73.69,12.138,1.731,51.46,32.02,48.24,1268,75,45,2,10.026,0.593,0.356,0.016,122.59,102.47,105.55,20549,969,2248,147,1199.25,56.551,131.194,8.579,59.73,23.53,62.25,6010,147,80,11,1108.602,27.116,14.757,2.029,71.7,35.65,67.45,22710,546,705,64,2624.033,63.088,81.459,7.395,64.73,28.46,66.23
35,27046,1383,903,123,716.599,36.643,23.926,3.259,54.67,18.73,50.9,6174,178,273,13,1065.916,30.731,47.132,2.244,73.58,35.26,60.65,85778,6082,1158,141,1023.8,72.591,13.821,1.683,47.44,33.02,59.17,1364,96,46,1,10.785,0.759,0.364,0.008,111.03,91.71,84.38,21762,1213,2396,148,1270.042,70.791,139.832,8.637,61.7,23.4,68.38,6160,150,88,8,1136.271,27.669,16.232,1.476,68.83,36.35,67.97,23495,785,756,51,2714.736,90.703,87.352,5.893,58.77,29.91,68
36,28364,1318,1010,107,751.52,34.921,26.761,2.835,56.14,18.31,53.45,6318,144,285,12,1090.777,24.861,49.204,2.072,77.88,34.36,66.49,91714,5936,1342,184,1094.649,70.849,16.017,2.196,55.02,39.16,75.42,1499,135,49,3,11.852,1.067,0.387,0.024,111.53,99.29,105.3,23097,1335,2511,115,1347.953,77.911,146.543,6.711,52.61,21.61,63.14,6244,84,92,4,1151.766,15.495,16.97,0.738,57.14,31.09,44.77,24228,733,805,49,2799.43,84.695,93.014,5.662,59.63,29.12,68.16
37,30081,1717,1193,183,797.013,45.493,31.609,4.849,61.27,18.64,56.42,6511,193,299,14,1124.097,33.321,51.621,2.417,80.32,37.09,70.92,95391,3677,1434,92,1138.536,43.887,17.115,1.098,58.99,40.67,66.13,1693,194,52,3,13.386,1.534,0.411,0.024,105.3,95.23,105.72,24413,1316,2643,132,1424.755,76.802,154.247,7.704,38.99,19.9,46.45,6320,76,98,6,1165.785,14.019,18.077,1.107,65.55,37.23,56.79,24820,592,831,26,2867.833,68.403,96.018,3.004,51.83,28.31,60.67
38,31872,1791,1309,116,844.467,47.454,34.683,3.073,54.89,18.19,56.27,6681,170,309,10,1153.447,29.35,53.348,1.726,82.37,37.28,74.24,99225,3834,1607,173,1184.296,45.761,19.18,2.065,60.26,40.58,66.37,1866,173,54,2,14.754,1.368,0.427,0.016,97.79,93.59,94.47,25587,1174,2737,94,1493.27,68.515,159.733,5.486,47.64,22.26,42.18,6415,95,103,5,1183.308,17.524,18.999,0.922,76.24,41.67,55.46,25220,400,858,27,2914.051,46.218,99.138,3.12,62.12,31.32,64.43
39,33341,1469,1467,158,883.389,38.922,38.869,4.186,45.1,16.95,44.6,6879,198,321,12,1187.631,34.184,55.419,2.072,85.22,40.06,81.08,103228,4003,1861,254,1232.074,47.778,22.212,3.032,61.92,39.96,67.94,1953,87,56,2,15.442,0.688,0.443,0.016,98.41,92.36,98.5,26551,964,2823,86,1549.53,56.26,164.752,5.019,53.81,23.22,46.84,6488,73,114,11,1196.774,13.466,21.028,2.029,76.83,41.23,59.34,25499,279,858,0,2946.288,32.237,99.138,0,66.63,32.24,59.93
40,34777,1436,1580,113,921.436,38.048,41.863,2.994,58.27,20.48,58.6,7073,194,336,15,1221.124,33.493,58.009,2.59,80.85,38.39,82.95,108202,4974,2107,246,1291.441,59.367,25.148,2.936,58.89,38.54,65.26,1953,0,56,0,15.442,0,0.443,0,99.61,91.56,101.04,27419,868,2945,122,1600.187,50.657,171.872,7.12,58.3,24.5,57.84,6566,78,127,13,1211.162,14.388,23.426,2.398,80.47,45.35,72.18,25753,254,900,42,2975.637,29.348,103.991,4.853,70.18,34.04,67.13
